MJD,Frequency(GHz),original Flux density paper(mJy),original Flux density error(mJy),upperlimit,instrument,reference
57015.256,19.2,1.97,0.03,n,VLA,Alexander et al.2016
57015.256,24.5,1.64,0.03,n,VLA,Alexander et al.2016
57028.131,5,1.91,0.03,n,VLA,Alexander et al.2016
57028.131,7.1,2,0.02,n,VLA,Alexander et al.2016
57028.131,8.5,2.04,0.04,n,VLA,Alexander et al.2016
57028.131,11,2.08,0.04,n,VLA,Alexander et al.2016
57035.126,19.2,0.91,0.08,n,VLA,Alexander et al.2016
57035.126,24.5,0.65,0.15,n,VLA,Alexander et al.2016
57094.127,5,1.74,0.02,n,VLA,Alexander et al.2016
57094.127,7.1,1.34,0.02,n,VLA,Alexander et al.2016
57094.127,8.5,1.31,0.06,n,VLA,Alexander et al.2016
57094.127,11,1.11,0.05,n,VLA,Alexander et al.2016
57133.087,1.4,2.18,0.08,n,VLA,Alexander et al.2016
57133.087,1.5,2.12,0.1,n,VLA,Alexander et al.2016
57133.087,1.8,2.13,0.09,n,VLA,Alexander et al.2016
57133.087,2.6,2,0.05,n,VLA,Alexander et al.2016
57133.087,3.4,1.84,0.03,n,VLA,Alexander et al.2016
57133.087,5,1.56,0.03,n,VLA,Alexander et al.2016
57133.087,7.1,1.26,0.03,n,VLA,Alexander et al.2016
57134.084,8.5,1.06,0.02,n,VLA,Alexander et al.2016
57134.084,11,0.84,0.04,n,VLA,Alexander et al.2016
57134.084,13.5,0.73,0.02,n,VLA,Alexander et al.2016
57134.084,16,0.59,0.02,n,VLA,Alexander et al.2016
57134.084,19.2,0.44,0.09,n,VLA,Alexander et al.2016
57134.084,24.5,0.3,0.04,n,VLA,Alexander et al.2016
57190,1.4,2.49,0.09,n,VLA,Alexander et al.2016
57190,1.5,2.5,0.1,n,VLA,Alexander et al.2016
57190,1.8,2.24,0.06,n,VLA,Alexander et al.2016
57190,2.6,1.93,0.04,n,VLA,Alexander et al.2016
57190,3.4,1.66,0.04,n,VLA,Alexander et al.2016
57190,5,1.26,0.04,n,VLA,Alexander et al.2016
57190,7.1,0.89,0.04,n,VLA,Alexander et al.2016
57194.005,8.5,0.72,0.04,n,VLA,Alexander et al.2016
57194.005,11,0.56,0.03,n,VLA,Alexander et al.2016
57194.005,13.5,0.46,0.02,n,VLA,Alexander et al.2016
57194.005,16,0.36,0.02,n,VLA,Alexander et al.2016
57194.005,19.2,0.28,0.03,n,VLA,Alexander et al.2016
57194.005,24.5,0.22,0.03,n,VLA,Alexander et al.2016
57262.378,1.4,2.15,0.07,n,VLA,Alexander et al.2016
57262.378,1.5,2.22,0.08,n,VLA,Alexander et al.2016
57262.378,1.8,2.13,0.07,n,VLA,Alexander et al.2016
57262.378,2.6,1.58,0.05,n,VLA,Alexander et al.2016
57262.378,3.4,1.26,0.04,n,VLA,Alexander et al.2016
57262.378,5,0.81,0.06,n,VLA,Alexander et al.2016
57262.378,7.1,0.49,0.07,n,VLA,Alexander et al.2016
57273.379,1.4,2.49,0.08,n,VLA,Alexander et al.2016
57273.379,1.5,2.49,0.11,n,VLA,Alexander et al.2016
57273.379,1.8,2.15,0.09,n,VLA,Alexander et al.2016
57273.379,2.6,1.65,0.04,n,VLA,Alexander et al.2016
57273.379,3.4,1.3,0.04,n,VLA,Alexander et al.2016
57273.379,5,0.89,0.03,n,VLA,Alexander et al.2016
57273.379,7.1,0.61,0.03,n,VLA,Alexander et al.2016
57276.376,13.5,0.23,0.02,n,VLA,Alexander et al.2016
57276.376,16,0.17,0.02,n,VLA,Alexander et al.2016
51505.66,1.4,2.55,0.14,n,FIRST,Velzen et al.2016
57072.85,1.4,1.91,0.06,n,WSRT,Velzen et al.2016
57113.74,1.4,2.46,0.05,n,WSRT,Velzen et al.2016
57014.078,15.7,1.865,0.083,n,AMI-LA,Bright et al.2018
57015.17,15.7,1.871,0.141,n,AMI-LA,Bright et al.2018
57017.096,15.7,1.969,0.067,n,AMI-LA,Bright et al.2018
57021.111,15.7,2.096,0.084,n,AMI-LA,Bright et al.2018
57039.088,15.7,1.629,0.078,n,AMI-LA,Bright et al.2018
57061.053,15.7,0.969,0.15,n,AMI-LA,Bright et al.2018
57065.995,15.7,0.87,0.103,n,AMI-LA,Bright et al.2018
57068.089,15.7,0.879,0.072,n,AMI-LA,Bright et al.2018
57069.97,15.7,1.291,0.209,n,AMI-LA,Bright et al.2018
57072.982,15.7,0.836,0.286,n,AMI-LA,Bright et al.2018
57077.055,15.7,0.86,0.086,n,AMI-LA,Bright et al.2018
57079.057,15.7,0.652,0.093,n,AMI-LA,Bright et al.2018
57082.105,15.7,0.654,0.066,n,AMI-LA,Bright et al.2018
57085.088,15.7,0.781,0.061,n,AMI-LA,Bright et al.2018
57090.081,15.7,0.894,0.121,n,AMI-LA,Bright et al.2018
57094.062,15.7,0.789,0.09,n,AMI-LA,Bright et al.2018
57098.952,15.7,0.761,0.082,n,AMI-LA,Bright et al.2018
57109.041,15.7,0.779,0.127,n,AMI-LA,Bright et al.2018
57113.984,15.7,0.826,0.367,n,AMI-LA,Bright et al.2018
57118.978,15.7,0.74,0.103,n,AMI-LA,Bright et al.2018
57122.941,15.7,0.814,0.104,n,AMI-LA,Bright et al.2018
57125.982,15.7,0.708,0.087,n,AMI-LA,Bright et al.2018
57127.975,15.7,0.717,0.076,n,AMI-LA,Bright et al.2018
57133.958,15.7,0.715,0.117,n,AMI-LA,Bright et al.2018
57138.941,15.7,0.525,0.073,n,AMI-LA,Bright et al.2018
57142.951,15.7,0.56,0.079,n,AMI-LA,Bright et al.2018
57145.921,15.7,0.497,0.099,n,AMI-LA,Bright et al.2018
57150.749,15.7,0.617,0.191,n,AMI-LA,Bright et al.2018
57153.735,15.7,0.503,0.177,n,AMI-LA,Bright et al.2018
57374.323,15.5,0.245,0.057,n,AMI-LA,Bright et al.2018
57376.128,15.5,0.224,0.065,n,AMI-LA,Bright et al.2018
57379.112,15.5,0.307,0.065,n,AMI-LA,Bright et al.2018
57381.291,15.5,0.336,0.07,n,AMI-LA,Bright et al.2018
57386.186,15.5,0.36,0.093,n,AMI-LA,Bright et al.2018
57388.098,15.5,0.305,0.068,n,AMI-LA,Bright et al.2018
57390.092,15.5,0.265,0.088,n,AMI-LA,Bright et al.2018
57392.087,15.5,0.132,0.089,n,AMI-LA,Bright et al.2018
57394.081,15.5,0.298,0.114,n,AMI-LA,Bright et al.2018
57396.066,15.5,0.257,0.093,n,AMI-LA,Bright et al.2018
57399.243,15.5,0.289,0.06,n,AMI-LA,Bright et al.2018
57401.211,15.5,0.216,0.059,n,AMI-LA,Bright et al.2018
57404.097,15.5,0.231,0.069,n,AMI-LA,Bright et al.2018
57406.156,15.5,0.257,0.061,n,AMI-LA,Bright et al.2018
57409.182,15.5,0.262,0.063,n,AMI-LA,Bright et al.2018
57413.019,15.5,0.274,0.068,n,AMI-LA,Bright et al.2018
57419.077,15.5,0.194,0.063,n,AMI-LA,Bright et al.2018
57421.028,15.5,0.255,0.066,n,AMI-LA,Bright et al.2018
57422.981,15.5,0.31,0.071,n,AMI-LA,Bright et al.2018
57428.013,15.5,0.191,0.072,n,AMI-LA,Bright et al.2018
57431.133,15.5,0.253,0.051,n,AMI-LA,Bright et al.2018
57434.038,15.5,0.333,0.087,n,AMI-LA,Bright et al.2018
57438.027,15.5,0.278,0.063,n,AMI-LA,Bright et al.2018
57441.95,15.5,0.286,0.087,n,AMI-LA,Bright et al.2018
57446.04,15.5,0.278,0.046,n,AMI-LA,Bright et al.2018
57461.083,15.5,0.201,0.049,n,AMI-LA,Bright et al.2018
57464.874,15.5,0.154,0.061,n,AMI-LA,Bright et al.2018
57467.897,15.5,0.213,0.06,n,AMI-LA,Bright et al.2018
57482.937,15.5,0.219,0.086,n,AMI-LA,Bright et al.2018
57496.982,15.5,0.211,0.057,n,AMI-LA,Bright et al.2018
57500.989,15.5,0.169,0.072,n,AMI-LA,Bright et al.2018
57508.04,15.5,0.2,0.083,n,AMI-LA,Bright et al.2018
57534.795,15.5,0.226,0.058,n,AMI-LA,Bright et al.2018
57538.815,15.5,0.256,0.076,n,AMI-LA,Bright et al.2018
57575.815,15.5,0.305,0.096,n,AMI-LA,Bright et al.2018
57632.565,15.5,0.143,0.099,n,AMI-LA,Bright et al.2018
57634.542,15.5,0.293,0.108,n,AMI-LA,Bright et al.2018
57640.501,15.5,0.202,0.078,n,AMI-LA,Bright et al.2018
57649.483,15.5,0.187,0.089,n,AMI-LA,Bright et al.2018
57653.48,15.5,0.274,0.072,n,AMI-LA,Bright et al.2018
57661.399,15.5,0.265,0.108,n,AMI-LA,Bright et al.2018
57668.399,15.5,0.254,0.105,n,AMI-LA,Bright et al.2018
57675.482,15.5,0.23,0.067,n,AMI-LA,Bright et al.2018
57678.358,15.5,0.242,0.081,n,AMI-LA,Bright et al.2018
57688.384,15.5,0.211,0.069,n,AMI-LA,Bright et al.2018
57695.34,15.5,0.213,0.064,n,AMI-LA,Bright et al.2018
57696.316,15.5,0.161,0.078,n,AMI-LA,Bright et al.2018
57700.305,15.5,0.249,0.077,n,AMI-LA,Bright et al.2018
57710.302,15.5,0.254,0.053,n,AMI-LA,Bright et al.2018
57717.262,15.5,0.301,0.058,n,AMI-LA,Bright et al.2018
57720.272,15.5,0.254,0.061,n,AMI-LA,Bright et al.2018
57721.227,15.5,0.289,0.07,n,AMI-LA,Bright et al.2018
57731.224,15.5,0.258,0.09,n,AMI-LA,Bright et al.2018
57737.204,15.5,0.216,0.061,n,AMI-LA,Bright et al.2018
57745.226,15.5,0.214,0.077,n,AMI-LA,Bright et al.2018
57749.236,15.5,0.196,0.062,n,AMI-LA,Bright et al.2018
57752.184,15.5,0.277,0.074,n,AMI-LA,Bright et al.2018
57761.183,15.5,0.216,0.07,n,AMI-LA,Bright et al.2018
57765.172,15.5,0.248,0.068,n,AMI-LA,Bright et al.2018
57769.141,15.5,0.199,0.095,n,AMI-LA,Bright et al.2018
57777.143,15.5,0.165,0.064,n,AMI-LA,Bright et al.2018
57783.1,15.5,0.195,0.13,n,AMI-LA,Bright et al.2018
57788.087,15.5,0.21,0.052,n,AMI-LA,Bright et al.2018
57794.05,15.5,0.266,0.078,n,AMI-LA,Bright et al.2018
57799.122,15.5,0.218,0.089,n,AMI-LA,Bright et al.2018
57809.033,15.5,0.209,0.058,n,AMI-LA,Bright et al.2018
57814.037,15.5,0.246,0.057,n,AMI-LA,Bright et al.2018
57820.918,15.5,0.231,0.054,n,AMI-LA,Bright et al.2018
57829.971,15.5,0.199,0.077,n,AMI-LA,Bright et al.2018
57832.963,15.5,0.244,0.057,n,AMI-LA,Bright et al.2018
57834.958,15.5,0.336,0.098,n,AMI-LA,Bright et al.2018
57839.945,15.5,0.265,0.074,n,AMI-LA,Bright et al.2018
57888.911,15.5,0.188,0.119,n,AMI-LA,Bright et al.2018
57920.723,15.5,0.193,0.085,n,AMI-LA,Bright et al.2018
57949.661,15.5,0.261,0.091,n,AMI-LA,Bright et al.2018
58747,3,0.58,0.15,n,VLASS,Anumarlapudi et al.2024
58760.1,0.8875,2.88,0.28,n,RACS-low,Anumarlapudi et al.2024
59376.6,1.3675,1.54,0.19,n,RACS-mid,Anumarlapudi et al.2024
59700.1,3,0.77,0.17,n,VLASS,Anumarlapudi et al.2024
59764.5,1.6555,1.3,0.18,n,RACS-high,Anumarlapudi et al.2024
59831.3,0.8875,2.39,0.2,n,RACS-low,Anumarlapudi et al.2024
